[INFO][2020-09-19 20:11:44,909][java.lang.Class]--------------查询商品详细信息------------
[INFO][2020-09-19 20:11:45,072][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[DEBUG][2020-09-19 20:13:57,641][org.apache.ibatis.logging.LogFactory]Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[INFO][2020-09-19 20:14:25,635][java.lang.Class]--------------查询商品详细信息------------
[DEBUG][2020-09-19 20:14:25,655][org.mybatis.spring.SqlSessionUtils]Creating a new SqlSession
[DEBUG][2020-09-19 20:14:25,656][org.mybatis.spring.SqlSessionUtils]Creating a new SqlSession
[DEBUG][2020-09-19 20:14:25,657][org.mybatis.spring.SqlSessionUtils]Creating a new SqlSession
[DEBUG][2020-09-19 20:14:25,682][org.mybatis.spring.SqlSessionUtils]SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@e3c4f20] was not registered for synchronization because synchronization is not active
[DEBUG][2020-09-19 20:14:25,684][org.mybatis.spring.SqlSessionUtils]SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@69488110] was not registered for synchronization because synchronization is not active
[DEBUG][2020-09-19 20:14:25,685][org.mybatis.spring.SqlSessionUtils]SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@7db11f5e] was not registered for synchronization because synchronization is not active
[INFO][2020-09-19 20:14:25,865][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[DEBUG][2020-09-19 20:14:26,543][org.mybatis.spring.transaction.SpringManagedTransaction]JDBC Connection [com.mysql.jdbc.JDBC4Connection@aa5c54b] will not be managed by Spring
[DEBUG][2020-09-19 20:14:26,560][org.mybatis.spring.transaction.SpringManagedTransaction]JDBC Connection [com.mysql.jdbc.JDBC4Connection@3414ced2] will not be managed by Spring
[DEBUG][2020-09-19 20:14:26,566][com.huanletao.huanletao.mapper.WebCategoryMapper.selectByExample]==>  Preparing: select 'true' as QUERYID, categoryid, catename from web_category 
[DEBUG][2020-09-19 20:14:26,566][com.huanletao.huanletao.mapper.WebGoodDescMapper.findPassGood]==>  Preparing: SELECT * FROM web_good_desc WHERE EXISTS( SELECT * FROM web_good WHERE web_good.`status`=1 AND web_good.`goodid` = web_good_desc.`goodid` ) LIMIT 20; 
[DEBUG][2020-09-19 20:14:26,588][org.mybatis.spring.transaction.SpringManagedTransaction]JDBC Connection [com.mysql.jdbc.JDBC4Connection@184cddd4] will not be managed by Spring
[DEBUG][2020-09-19 20:14:26,589][com.huanletao.huanletao.mapper.WebAdvertMapper.selectByExample]==>  Preparing: select 'true' as QUERYID, advertid, advertname, tarurl, picaddress, status from web_advert WHERE ( status = ? ) 
[DEBUG][2020-09-19 20:14:26,626][com.huanletao.huanletao.mapper.WebCategoryMapper.selectByExample]==> Parameters: 
[DEBUG][2020-09-19 20:14:26,626][com.huanletao.huanletao.mapper.WebGoodDescMapper.findPassGood]==> Parameters: 
[DEBUG][2020-09-19 20:14:26,626][com.huanletao.huanletao.mapper.WebAdvertMapper.selectByExample]==> Parameters: 1(String)
[DEBUG][2020-09-19 20:14:26,660][com.huanletao.huanletao.mapper.WebCategoryMapper.selectByExample]<==      Total: 9
[DEBUG][2020-09-19 20:14:26,660][com.huanletao.huanletao.mapper.WebAdvertMapper.selectByExample]<==      Total: 3
[DEBUG][2020-09-19 20:14:26,663][org.mybatis.spring.SqlSessionUtils]Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@e3c4f20]
[DEBUG][2020-09-19 20:14:26,663][org.mybatis.spring.SqlSessionUtils]Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@7db11f5e]
[DEBUG][2020-09-19 20:14:26,685][com.huanletao.huanletao.mapper.WebGoodDescMapper.findPassGood]<==      Total: 18
[DEBUG][2020-09-19 20:14:26,686][org.mybatis.spring.SqlSessionUtils]Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@69488110]
[DEBUG][2020-09-19 20:18:08,066][org.apache.ibatis.logging.LogFactory]Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
